Sat1.A1ModJulian          Sat1.Earth.RadApo         Sat1.Earth.RadPer         Sat1.Earth.SMA            Sat1.Earth.SemilatusRectum   Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.ElapsedSecs          
29124.7896625611          95671.99999997135         23918.00000000418         59794.99999998777         38268.80000000308            -3.333058295008626        145515.1750192102         -2.415853520550829        -0.2035552615618171       0                         -42140.12523757306        47572.86814816741         0                         24989.80989722768         
29124.81927153405         95671.99999997595         23918.00000000417         59794.99999999006         38268.80000000342            -3.333058295008498        145515.1750192186         -2.251013252146349        -0.3763239399593205       0                         -48108.42300568732        46824.50173147651         0                         27548.02516034106         
29124.85052153405         95671.99999997845         23918.00000000419         59794.99999999133         38268.80000000368            -3.333058295008427        145515.1750192232         -2.083081748772884        -0.5286597401857153       0                         -53958.00861809926        45596.62550564948         0                         30248.02516034106         
29124.88177153405         95671.99999997937         23918.00000000427         59794.99999999181         38268.80000000379            -3.3330582950084          145515.175019225          -1.921551360933994        -0.6565493726174555       0                         -59362.83807955541        43991.68964935813         0                         32948.02516034106         
29124.91302153405         95671.99999997973         23918.00000000429         59794.999999992           38268.80000000385            -3.33305829500839         145515.1750192257         -1.766181590334793        -0.7647749520945644       0                         -64339.93622861142        42068.92087033125         0                         35648.02516034106         
29124.94427153405         95671.99999997986         23918.00000000429         59794.99999999208         38268.80000000387            -3.333058295008386        145515.175019226          -1.61652844015684         -0.8569093568973291       0                         -68905.36581877781        39876.36152979502         0                         38348.02516034106         
29124.97552153405         95671.99999997995         23918.0000000043          59794.99999999213         38268.8000000039             -3.333058295008383        145515.1750192262         -1.472068000993903        -0.9356646417054288       0                         -73073.86366851488        37453.63305823936         0                         41048.02516034106         
29125.00677153405         95671.99999997999         23918.00000000431         59794.99999999216         38268.80000000391            -3.333058295008381        145515.1750192262         -1.332258703926584        -1.003127965856891        0                         -76858.71861409572        34833.92153110399         0                         43748.02516034106         
29125.03802153405         95671.99999998005         23918.00000000434         59794.99999999219         38268.80000000395            -3.333058295008379        145515.1750192264         -1.196571702064322        -1.060924259464765        0                         -80271.76991567441        32045.4320401937          0                         46448.02516034106         
29125.06927153405         95671.99999998005         23918.00000000434         59794.99999999219         38268.80000000396            -3.333058295008379        145515.1750192264         -1.064504481477041        -1.110330312886485        0                         -83323.46266009874        29112.47381904949         0                         49148.02516034106         
